"Productos","Mercados","Precio_mínimo","Precio_máximo","Precio_medio","Fecha_inicial","Fecha_final","Categoria","Ciudad"
"Patilla","Pereira, Mercasa","2,000","2,500","2,090","sábado, 30 de marzo de 2024","viernes, 5 de abril de 2024","Frutas","Pereira"
"Limón Tahití","Pereira, Mercasa","2,000","2,500","2,167","sábado, 23 de marzo de 2024","miércoles, 27 de marzo de 2024","Frutas","Pereira"
"Naranja Sweet","Pereira, Mercasa","2,000","2,500","2,267","sábado, 23 de marzo de 2024","miércoles, 27 de marzo de 2024","Frutas","Pereira"
"Naranja Valencia","Pereira, Mercasa","2,000","2,500","2,267","sábado, 23 de marzo de 2024","miércoles, 27 de marzo de 2024","Frutas","Pereira"
"Patilla baby","Pereira, Mercasa","2,000","2,500","2,267","sábado, 23 de marzo de 2024","miércoles, 27 de marzo de 2024","Frutas","Pereira"
"Patilla baby","Pereira, Mercasa","2,000","2,500","2,367","sábado, 16 de marzo de 2024","viernes, 22 de marzo de 2024","Frutas","Pereira"
"Limón común","Pereira, Mercasa","2,000","2,500","2,250","sábado, 24 de febrero de 2024","viernes, 1 de marzo de 2024","Frutas","Pereira"
"Guayaba agria","Pereira, Mercasa","2,000","2,500","2,275","sábado, 23 de diciembre de 2023","viernes, 29 de diciembre de 2023","Frutas","Pereira"
"Tangelo","Pereira, Mercasa","2,000","2,500","2,100","sábado, 9 de diciembre de 2023","viernes, 15 de diciembre de 2023","Frutas","Pereira"
"Guayaba pera","Pereira, Mercasa","2,000","2,500","2,253","sábado, 9 de diciembre de 2023","viernes, 15 de diciembre de 2023","Frutas","Pereira"
"Guayaba pera","Pereira, Mercasa","2,000","2,500","2,333","sábado, 2 de diciembre de 2023","jueves, 7 de diciembre de 2023","Frutas","Pereira"
"Limón común","Pereira, Mercasa","2,000","2,500","2,092","sábado, 25 de noviembre de 2023","viernes, 1 de diciembre de 2023","Frutas","Pereira"
"Guayaba pera","Pereira, Mercasa","2,000","2,500","2,344","sábado, 11 de noviembre de 2023","viernes, 17 de noviembre de 2023","Frutas","Pereira"
"Guayaba pera","Pereira, Mercasa","2,000","2,500","2,325","sábado, 21 de octubre de 2023","viernes, 27 de octubre de 2023","Frutas","Pereira"
"Guayaba pera","Pereira, Mercasa","2,000","2,500","2,356","sábado, 14 de octubre de 2023","viernes, 20 de octubre de 2023","Frutas","Pereira"
